Segment,Segment-Direction,Limits-Amy,Limts-From,Limits-To,Segment-Type
SS 465,N to S,SH 183 to IH 20,SH 183,IH 20,Continuous
FM 917 - B,W to E,Chisholm Trail Pkwy (TL 38) to IH 35W,Chisholm Trail Pkwy (TL 38),IH 35W,Continuous
SS 303,W to E,Stalcup Rd/Winnie St to Tarrant County Line,Stalcup Rd/Winnie St,Tarrant County Line,Continuous
US 377 - C,W to E,Sunset Acres Ct to SW of BU 377F,Sunset Acres Ct,SW of BU 377F,Continuous
FM 51 - F,N to S,FM 167 to FM 4,FM 167,FM 4,Continuous
FM 2481 - A,N to S,US 377 to US 67,US 377,US 67,Continuous
FM 3433,N to S,Right Frontage US 81 to FM 718,Right Frontage US 81,FM 718,Continuous
FM 156 - B,N to S,US 81/287 to IH 820,US 81/287,IH 820,Continuous
BU 287P - A,N to S,US 81/287 to IH 820 Interchange,US 81/287,IH 820 Interchange,Continuous
FM 407,W to E,Right Frontage US 81 to Wise County Line,Right Frontage US 81,Wise County Line,Continuous
FM 730 - B,N to S,BU 81D to SH 114,BU 81D,SH 114,Continuous
RM 2871,N to S,IH 30 to US 377,IH 30,US 377,Continuous
BS 114J,W to E,Left Frontage US 81 to BU 81E,Left Frontage US 81,BU 81E,Continuous
BU 287P - C,N to S,IH 35W to IH 20,IH 35W,IH 20,Continuous
FM 113 - B,N to S,US 180 to IH 20,US 180,IH 20,Continuous
FM 1156 - B,N to S,US 380 to SH 199,US 380,SH 199,Continuous
FM 1187 - A,N to S,Left Frontage IH 20 to US 377,Left Frontage IH 20,US 377,Continuous
FM 1187 - B,W to E,US 377 to IH 35W,US 377,IH 35W,Continuous
FM 1187 - C,W to E,IH 35W to BU 287P,IH 35W,BU 287P,Continuous
FM 1189,N to S,Left Frontage IH 20 to US 281,Left Frontage IH 20,US 281,Gap
FM 1542,W to E,SH 199 to FM 730,SH 199,FM 730,Continuous
FM 156 - A,N to S,Tarrant County Line to US 81/287,Tarrant County Line,US 81/287,Continuous
FM 156 - C,N to S,IH 820 to BU 287P,IH 820,BU 287P,Continuous
FM 157 - B,N to S,SH 180 to US 287,SH 180,US 287,Continuous
FM 1810 - A,W to E,SH 59 to SH 101,SH 59,SH 101,Continuous
FM 1821,N to S,US 281 to FM 1195,US 281,FM 1195,Continuous
FM 1886,W to E,FM 730 to SH 199,FM 730,SH 199,Continuous
FM 1902,N to S,FM 1187 to FM 917,FM 1187,FM 917,Continuous
FM 2123,N to S,SH 114 to FM 51,SH 114,FM 51,Continuous
FM 219 - A,N to S,SH 108 to N Patrick St,SH 108,N Patrick St,Continuous
